,state_name,state,congress,s_upper,s_lower,election_name,race_type,voter_power
357,Minnesota,27,NA,NA,52,State House District 52,State Leg (Lower),46
358,Minnesota,27,NA,NA,53,State House District 53,State Leg (Lower),5
359,Minnesota,27,NA,NA,54,State House District 54,State Leg (Lower),4
360,Minnesota,27,NA,NA,55,State House District 55,State Leg (Lower),9
361,Minnesota,27,NA,NA,56,State House District 56,State Leg (Lower),18
362,Minnesota,27,NA,NA,57,State House District 57,State Leg (Lower),9
363,Minnesota,27,NA,NA,58,State House District 58,State Leg (Lower),16
364,Minnesota,27,NA,NA,59,State House District 59,State Leg (Lower),13
365,Minnesota,27,NA,NA,60,State House District 60,State Leg (Lower),12
366,Minnesota,27,NA,NA,61,State House District 61,State Leg (Lower),30
367,Minnesota,27,NA,NA,62,State House District 62,State Leg (Lower),9
368,Minnesota,27,NA,NA,63,State House District 63,State Leg (Lower),73
369,Minnesota,27,NA,NA,64,State House District 64,State Leg (Lower),88
370,Minnesota,27,NA,NA,65,State House District 65,State Leg (Lower),74
371,Minnesota,27,NA,NA,66,State House District 66,State Leg (Lower),67
372,Minnesota,27,NA,NA,67,State House District 67,State Leg (Lower),81
373,Minnesota,27,NA,NA,68,State House District 68,State Leg (Lower),13
374,Minnesota,27,NA,NA,69,State House District 69,State Leg (Lower),93
375,Minnesota,27,NA,NA,70,State House District 70,State Leg (Lower),93
376,Minnesota,27,NA,NA,71,State House District 71,State Leg (Lower),100
377,Minnesota,27,NA,NA,72,State House District 72,State Leg (Lower),32
378,Minnesota,27,NA,NA,73,State House District 73,State Leg (Lower),67
379,Minnesota,27,NA,NA,74,State House District 74,State Leg (Lower),54
380,Minnesota,27,NA,NA,75,State House District 75,State Leg (Lower),5
381,Minnesota,27,NA,NA,76,State House District 76,State Leg (Lower),3
382,Minnesota,27,NA,NA,77,State House District 77,State Leg (Lower),10
383,Minnesota,27,NA,NA,78,State House District 78,State Leg (Lower),4
384,Minnesota,27,NA,NA,79,State House District 79,State Leg (Lower),19
385,Minnesota,27,NA,NA,80,State House District 80,State Leg (Lower),7
386,Minnesota,27,NA,NA,81,State House District 81,State Leg (Lower),97
387,Minnesota,27,NA,NA,82,State House District 82,State Leg (Lower),95
388,Minnesota,27,NA,NA,83,State House District 83,State Leg (Lower),28
389,Minnesota,27,NA,NA,84,State House District 84,State Leg (Lower),17
390,Minnesota,27,NA,NA,85,State House District 85,State Leg (Lower),7
391,Minnesota,27,NA,NA,86,State House District 86,State Leg (Lower),3
392,Minnesota,27,NA,NA,87,State House District 87,State Leg (Lower),10
393,Minnesota,27,NA,NA,88,State House District 88,State Leg (Lower),25
394,Minnesota,27,NA,NA,89,State House District 89,State Leg (Lower),93
395,Minnesota,27,NA,NA,90,State House District 90,State Leg (Lower),13
396,Minnesota,27,NA,NA,91,State House District 91,State Leg (Lower),2
